id_cliente,nome_cliente,segmento,regiao,data_inicio_cliente,industria
1,Ana Lívia da Cunha,Consumidor,Nordeste,2025-07-31,Serviços
2,Letícia Mendes,Corporativo,Nordeste,2025-12-16,Educação
3,Sr. Arthur Gabriel Marques,Pequena Empresa,Centro-Oeste,2022-06-13,Educação
4,Lorena Rocha,Consumidor,Nordeste,2024-06-21,Varejo
5,Dra. Joana Moura,Consumidor,Norte,2023-12-09,Saúde
6,Sr. Isaque Silva,Consumidor,Nordeste,2023-04-01,Tecnologia
7,Liam Souza,Consumidor,Norte,2025-01-06,Saúde
8,Anthony Câmara,Corporativo,Nordeste,2022-10-07,Educação
9,Larissa Sá,Pequena Empresa,Norte,2021-09-09,Serviços
10,Maria Flor Cavalcante,Pequena Empresa,Nordeste,2024-03-05,Tecnologia
11,Theodoro Fogaça,Consumidor,Nordeste,2025-07-20,Tecnologia
12,Maria Julia Lopes,Corporativo,Sul,2025-07-20,Serviços
13,Luísa Novais,Pequena Empresa,Norte,2025-12-06,Tecnologia
14,Luísa Correia,Consumidor,Norte,2021-12-24,Serviços
15,Srta. Julia Casa Grande,Consumidor,Norte,2021-07-27,Tecnologia
16,Letícia Vasconcelos,Consumidor,Sudeste,2021-11-22,Saúde
17,Gael Henrique Silva,Consumidor,Nordeste,2025-10-26,Tecnologia
18,Caroline Vargas,Consumidor,Norte,2024-12-26,Varejo
19,Luiz Fernando Montenegro,Consumidor,Sudeste,2024-01-21,Serviços
20,Fernanda Silva,Consumidor,Sul,2022-07-17,Tecnologia
21,Rafaela Costela,Pequena Empresa,Norte,2024-05-21,Serviços
22,Sra. Vitória Cavalcante,Consumidor,Norte,2024-03-24,Varejo
23,Davi Nascimento,Consumidor,Sudeste,2021-06-24,Tecnologia
24,Dr. Asafe Duarte,Consumidor,Nordeste,2021-08-02,Tecnologia
25,Sr. Benicio da Mota,Consumidor,Sul,2024-11-13,Varejo
26,Sr. Ravi Garcia,Pequena Empresa,Norte,2021-06-07,Varejo
27,Marina Melo,Consumidor,Nordeste,2025-05-25,Varejo
28,Zoe Borges,Consumidor,Sul,2023-09-28,Serviços
29,Luiz Fernando Cardoso,Consumidor,Centro-Oeste,2023-12-10,Varejo
30,Ana Luiza Rocha,Consumidor,Centro-Oeste,2021-05-02,Serviços
31,Sr. Vitor Hugo Siqueira,Pequena Empresa,Sul,2026-02-15,Saúde
32,Mariana Nogueira,Consumidor,Sudeste,2024-11-26,Tecnologia
33,Maria Júlia da Conceição,Consumidor,Sul,2024-01-22,Tecnologia
34,Fernando Casa Grande,Corporativo,Sul,2023-08-18,Educação
35,Isaac Peixoto,Corporativo,Sudeste,2023-01-23,Saúde
36,Maria Luísa da Costa,Pequena Empresa,Sudeste,2023-06-23,Varejo
37,Isabelly Ramos,Consumidor,Nordeste,2022-11-23,Varejo
38,Dr. Luan Pacheco,Consumidor,Nordeste,2022-04-17,Saúde
39,Giovanna Novaes,Pequena Empresa,Sudeste,2024-03-28,Varejo
40,Luísa Mendonça,Consumidor,Centro-Oeste,2023-08-14,Educação
41,Bryan da Conceição,Consumidor,Centro-Oeste,2022-01-22,Serviços
42,Ravi Araújo,Consumidor,Sul,2021-09-23,Tecnologia
43,Maria Helena Araújo,Consumidor,Norte,2024-10-13,Saúde
44,André Teixeira,Corporativo,Sul,2023-11-08,Tecnologia
45,Helena Rios,Consumidor,Sul,2021-06-25,Serviços
46,Alexandre Mendes,Pequena Empresa,Norte,2023-07-04,Saúde
47,Cecília das Neves,Consumidor,Sudeste,2025-05-18,Serviços
48,José Pedro Campos,Consumidor,Centro-Oeste,2022-04-28,Varejo
49,Vinicius Rios,Consumidor,Sul,2021-12-01,Varejo
50,Hadassa Costa,Consumidor,Norte,2024-11-26,Varejo
51,Julia Novais,Corporativo,Nordeste,2023-11-11,Serviços
52,Sara da Costa,Pequena Empresa,Sul,2024-05-10,Serviços
53,Sr. Ravi Lucca Macedo,Corporativo,Centro-Oeste,2022-01-27,Serviços
54,Dra. Isabela Monteiro,Corporativo,Sudeste,2025-12-20,Tecnologia
55,Melina Barbosa,Consumidor,Sul,2025-08-24,Serviços
56,Samuel Pimenta,Corporativo,Sul,2023-04-01,Varejo
57,Theodoro Oliveira,Consumidor,Norte,2021-03-23,Educação
58,Benjamin Alves,Consumidor,Nordeste,2022-09-17,Serviços
59,Beatriz Costa,Consumidor,Nordeste,2023-01-12,Educação
60,Srta. Eduarda Lopes,Consumidor,Sudeste,2022-02-09,Varejo
61,Lavínia Mendonça,Consumidor,Centro-Oeste,2025-11-01,Serviços
62,Lavínia Jesus,Consumidor,Sudeste,2022-08-02,Tecnologia
63,Maitê Freitas,Pequena Empresa,Sul,2022-12-11,Tecnologia
64,Asafe Melo,Consumidor,Sul,2021-08-25,Educação
65,Anthony Jesus,Consumidor,Nordeste,2025-03-29,Tecnologia
66,Srta. Emanuelly Santos,Consumidor,Centro-Oeste,2023-08-29,Tecnologia
67,Liam Fogaça,Consumidor,Norte,2021-03-21,Tecnologia
68,Murilo Silveira,Pequena Empresa,Centro-Oeste,2026-03-06,Varejo
69,Isaac Nunes,Consumidor,Sul,2025-03-12,Tecnologia
70,Kamilly da Costa,Corporativo,Norte,2021-09-08,Saúde
71,Eduardo Teixeira,Pequena Empresa,Centro-Oeste,2021-03-18,Serviços
72,Dr. Gabriel Ferreira,Consumidor,Centro-Oeste,2023-11-18,Tecnologia
73,Maria Luiza da Paz,Consumidor,Norte,2024-02-18,Tecnologia
74,Heloisa Mendes,Pequena Empresa,Sul,2024-10-14,Tecnologia
75,Dra. Lara Gonçalves,Pequena Empresa,Centro-Oeste,2024-10-22,Saúde
76,Henry Cassiano,Pequena Empresa,Norte,2024-05-09,Tecnologia
77,Davi Lucas Viana,Pequena Empresa,Sul,2022-06-21,Tecnologia
78,Maria Luiza Viana,Consumidor,Norte,2022-09-07,Serviços
79,Lunna Monteiro,Consumidor,Norte,2022-09-03,Saúde
80,Augusto Nunes,Consumidor,Centro-Oeste,2022-08-06,Saúde
81,Letícia Aparecida,Corporativo,Sul,2022-04-16,Tecnologia
82,Ravi Silveira,Pequena Empresa,Centro-Oeste,2025-05-20,Saúde
83,Davi Luiz Costa,Consumidor,Sudeste,2024-11-18,Educação
84,Isaac Barbosa,Consumidor,Sudeste,2023-09-27,Saúde
85,Henry Gomes,Consumidor,Sul,2023-10-15,Saúde
86,Antonella Sá,Consumidor,Norte,2025-10-12,Saúde
87,Lívia Novaes,Pequena Empresa,Centro-Oeste,2021-11-07,Varejo
88,Aurora Aragão,Pequena Empresa,Centro-Oeste,2022-10-12,Varejo
89,Natália Martins,Corporativo,Sul,2022-07-02,Varejo
90,Josué Guerra,Consumidor,Sul,2022-01-31,Saúde
91,Sra. Maria Borges,Consumidor,Sudeste,2021-11-19,Educação
92,Isabela Abreu,Pequena Empresa,Nordeste,2022-11-13,Saúde
93,Rael Nunes,Pequena Empresa,Sul,2022-12-27,Tecnologia
94,Yasmin Pinto,Consumidor,Nordeste,2022-01-17,Educação
95,Sr. Vitor Hugo Costela,Pequena Empresa,Sul,2024-10-07,Varejo
96,Igor Pacheco,Consumidor,Norte,2022-05-04,Serviços
97,João Lucas Garcia,Consumidor,Norte,2023-08-06,Educação
98,Dom Pires,Consumidor,Sudeste,2025-09-11,Varejo
99,Sra. Lavínia Freitas,Consumidor,Sudeste,2023-03-18,Educação
100,Srta. Beatriz Melo,Consumidor,Nordeste,2022-07-10,Educação
101,Matteo Sampaio,Consumidor,Sul,2023-01-18,Saúde
102,Maya Rocha,Pequena Empresa,Centro-Oeste,2021-04-09,Tecnologia
103,Luiz Otávio Pires,Consumidor,Sudeste,2022-09-20,Serviços
104,Srta. Julia Montenegro,Consumidor,Centro-Oeste,2022-10-07,Varejo
105,Pietro da Luz,Corporativo,Centro-Oeste,2021-10-28,Educação
106,Lunna Sampaio,Consumidor,Sul,2025-09-24,Serviços
107,Maya Silveira,Consumidor,Nordeste,2025-11-28,Educação
108,Mathias Marques,Pequena Empresa,Sul,2025-02-11,Tecnologia
109,Enzo Nogueira,Consumidor,Sudeste,2023-03-26,Serviços
110,Liz Martins,Consumidor,Centro-Oeste,2024-05-26,Varejo
111,Rebeca Peixoto,Consumidor,Sul,2025-10-18,Educação
112,Dom Porto,Consumidor,Sul,2024-12-05,Tecnologia
113,Theodoro Farias,Corporativo,Sul,2024-01-20,Serviços
114,Gustavo Rodrigues,Pequena Empresa,Sudeste,2023-10-31,Educação
115,Dra. Ísis Duarte,Pequena Empresa,Nordeste,2021-08-11,Educação
116,Alícia Jesus,Corporativo,Sul,2023-03-28,Varejo
117,Pedro Lima,Pequena Empresa,Sudeste,2021-05-03,Tecnologia
118,Joaquim da Luz,Consumidor,Centro-Oeste,2022-04-06,Saúde
119,Yago Gomes,Corporativo,Norte,2025-03-14,Educação
120,Jade da Luz,Consumidor,Sudeste,2026-03-13,Serviços
121,Davi Luiz Guerra,Pequena Empresa,Norte,2022-01-01,Varejo
122,Sra. Julia Pastor,Corporativo,Sul,2022-05-08,Varejo
